parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89207,BIS-(GLYCERYL/LAURYL) GLYCERYL LAURYL DIMETHICONE,"EMULSION STABILISING, SURFACTANT",Tensioactif,1202686-00-7,1,2,BIS-(GLYCERYL,Molécule chimique,Très courte (≤15),13,Tensioactif
82644,BIS-AMINOETHOXYETHANE/GUANIDINE HCL COPOLYMER,ANTIMICROBIAL,Conservateur,374572-91-5,1,2,BIS-AMINOETHOXYETHANE,Molécule chimique,Courte (16-25),21,Conservateur
54679,BIS-AMINOPROPYL/ETHOXY AMINOPROPYL DIMETHICONE,HAIR CONDITIONING,Soin capillaire,,1,2,BIS-AMINOPROPYL,Molécule chimique,Très courte (≤15),15,Soin capillaire
54680,BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,3,BIS-BEHENYL,Molécule chimique,Très courte (≤15),11,Émollient
54680,BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,3,ISOSTEARYL,Molécule chimique,Très courte (≤15),10,Émollient
54680,BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émollient / Conditioning,,3,3,PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,Molécule chimique,Moyenne (26-50),46,Émollient
54681,BIS-BEHENYL/PHYTOSTERYL DIMER DILINOLEATE,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,BIS-BEHENYL,Molécule chimique,Très courte (≤15),11,Émollient
54681,BIS-BEHENYL/PHYTOSTERYL DIMER DILINOLEATE,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,2,PHYTOSTERYL DIMER DILINOLEATE,Molécule chimique,Moyenne (26-50),29,Émollient
88009,BIS-C16-20 ISOALKOXY TMHDI/PEG-90 COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,2,BIS-C16-20 ISOALKOXY TMHDI,Molécule chimique,Moyenne (26-50),26,Agent de viscosité
86421,BIS-CETYL/PEG-8 CETYL PEG-8 DIMETHICONE,EMULSION STABILISING,Émulsifiant,,1,2,BIS-CETYL,Molécule chimique,Très courte (≤15),9,Émulsifiant
