parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
90587,KLUYVEROMYCES/LACTOBACILLUS/OPHIOPOGON JAPONICUS ROOT OIL FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,OPHIOPOGON JAPONICUS ROOT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),46,Antioxydant
89683,KLUYVEROMYCES/LACTOBACILLUS/PAEONIA LACTIFLORA ROOT OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,PAEONIA LACTIFLORA ROOT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),44,Antioxydant
90484,KLUYVEROMYCES/LACTOBACILLUS/PANAX GINSENG SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,PANAX GINSENG SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),39,Antioxydant
90601,KLUYVEROMYCES/LACTOBACILLUS/PEACH KERNEL FERMENT OIL FILTRATE,"ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,PEACH KERNEL FERMENT OIL FILTRATE,Huile,Moyenne (26-50),33,Antioxydant
90476,KLUYVEROMYCES/LACTOBACILLUS/PHASEOLUS ANGULARIS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,PHASEOLUS ANGULARIS SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Antioxydant
90483,KLUYVEROMYCES/LACTOBACILLUS/PINUS DENSIFLORA LEAF OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Conservateur,,3,3,PINUS DENSIFLORA LEAF OIL FERMENT FILTRATE,Huile,Moyenne (26-50),42,Conservateur
90603,KLUYVEROMYCES/LACTOBACILLUS/PINUS KORAIENSIS SEED FERMENT OIL FILTRATE,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,PINUS KORAIENSIS SEED FERMENT OIL FILTRATE,Huile,Moyenne (26-50),42,Antioxydant
90493,KLUYVEROMYCES/LACTOBACILLUS/PINUS KORAIENSIS SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,PINUS KORAIENSIS SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),42,Antioxydant
93041,KLUYVEROMYCES/LACTOBACILLUS/PLUMERIA ALBA FLOWER OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT",Conservateur,,3,3,PLUMERIA ALBA FLOWER OIL FERMENT FILTRATE,Huile,Moyenne (26-50),41,Conservateur
90485,KLUYVEROMYCES/LACTOBACILLUS/SAFFLOWER SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, ANTISEBORRHOEIC, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,SAFFLOWER SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),35,Antioxydant
91270,KLUYVEROMYCES/LACTOBACILLUS/SAPINDUS MUKOROSSI FRUIT OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Conservateur,,3,3,SAPINDUS MUKOROSSI FRUIT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Conservateur
90490,KLUYVEROMYCES/LACTOBACILLUS/SAPINDUS MUKUROSSI FRUIT OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Conservateur,,3,3,SAPINDUS MUKUROSSI FRUIT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),45,Conservateur
91269,KLUYVEROMYCES/LACTOBACILLUS/SAURURUS CHINENSIS OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, BLEACHING, SKIN CONDITIONING",Antioxydant,,3,3,SAURURUS CHINENSIS OIL FERMENT FILTRATE,Huile,Moyenne (26-50),39,Antioxydant
90617,KLUYVEROMYCES/LACTOBACILLUS/SESAME SEED FERMENT OIL FILTRATE,"ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,SESAME SEED FERMENT OIL FILTRATE,Huile,Moyenne (26-50),32,Antioxydant
90489,KLUYVEROMYCES/LACTOBACILLUS/SESAME SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,SESAME SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),32,Antioxydant
90602,KLUYVEROMYCES/LACTOBACILLUS/WALNUT SEED FERMENT OIL FILTRATE,"ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,3,3,WALNUT SEED FERMENT OIL FILTRATE,Huile,Moyenne (26-50),32,Antioxydant
90488,KLUYVEROMYCES/LACTOBACILLUS/WALNUT SEED OIL FERMENT FILTRATE,"ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,WALNUT SEED OIL FERMENT FILTRATE,Huile,Moyenne (26-50),32,Antioxydant
90479,KLUYVEROMYCES/LACTOBACILLUS/ZIZYPHUS JUJUBA FRUIT OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING",Antioxydant,,3,3,ZIZYPHUS JUJUBA FRUIT OIL FERMENT FILTRATE,Huile,Moyenne (26-50),42,Antioxydant
83382,KUNZEA AMBIGUA BRANCH/LEAF/TWIG OIL,MASKING,Autre,97553-36-1,3,3,TWIG OIL,Huile,Très courte (≤15),8,Autre
85100,LACTOBACILLUS/LAC SOLIDS/SOYBEAN OIL FERMENT,"HUMECTANT, SKIN CONDITIONING",Humectant,,3,3,SOYBEAN OIL FERMENT,Huile,Courte (16-25),19,Humectant
92806,LACTOBACILLUS/MILK SOLIDS/SOYBEAN OIL FERMENT,"HUMECTANT, SKIN CONDITIONING",Humectant,,3,3,SOYBEAN OIL FERMENT,Huile,Courte (16-25),19,Humectant
58004,LACTOBACILLUS/MILK/GLYCINE SOJA OIL FERMENT,SKIN CONDITIONING,Autre,,3,3,GLYCINE SOJA OIL FERMENT,Huile,Courte (16-25),24,Autre
91325,LAVANDULA ANGUSTIFOLIA FLOWER/LEAF/STEM OIL,"FLAVOURING, HUMECTANT, MASKING",Humectant,,3,3,STEM OIL,Huile,Très courte (≤15),8,Humectant
82827,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,PERFUMING,Fragrance / Parfum,92623-76-2,3,3,STEM OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
82214,LEPTOSPERMUM SCOPARIUM BRANCH/LEAF OIL,TONIC,Autre,223749-44-8,2,2,LEAF OIL,Huile,Très courte (≤15),8,Autre
85247,LINSEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,1,2,LINSEED OIL,Huile,Très courte (≤15),11,Autre
85247,LINSEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,2,2,PALM OIL AMINOPROPANEDIOL ESTERS,Huile,Moyenne (26-50),32,Autre
86877,LIPPIA ALBA LEAF/STEM OIL,"ANTIOXIDANT, MASKING, PERFUMING",Fragrance / Parfum,8024-12-2,2,2,STEM OIL,Huile,Très courte (≤15),8,Fragrance / Parfum
92962,LIPPIA CITRIODORA FLOWER/LEAF/STEM OIL,MASKING,Autre,,3,3,STEM OIL,Huile,Très courte (≤15),8,Autre
