parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
55754,DIMETHICONE PEG/PPG-7/4 PHOSPHATE,"CLEANSING, EMULSIFYING, SURFACTANT",Tensioactif,,2,3,PPG-7,PEG/PPG,Très courte (≤15),5,Tensioactif
55785,DIMETHICONE/PEG-10/15 CROSSPOLYMER,"FILM FORMING, OPACIFYING",Agent filmogène,,2,3,PEG-10,PEG/PPG,Très courte (≤15),6,Filmogène
33648,DISODIUM PEG-8 GLYCERYL CAPRYLATE/CAPRATE,"EMULSIFYING, SURFACTANT",Tensioactif,,1,2,DISODIUM PEG-8 GLYCERYL CAPRYLATE,PEG/PPG,Moyenne (26-50),33,Tensioactif
86037,DMPA/PPG-36/SMDI COPOLYMER,"FILM FORMING, HAIR FIXING",Agent filmogène,,2,3,PPG-36,PEG/PPG,Très courte (≤15),6,Filmogène
83156,EPSILON CAPROLACTONE PEG/PPG-23/34 COPOLYMER,"EMOLLIENT, HAIR CONDITIONING",Émollient / Conditioning,,2,3,PPG-23,PEG/PPG,Très courte (≤15),6,Émollient
56257,FIBROIN/PEG-16/SODIUM ACRYLATE COPOLYMER,FILM FORMING,Agent filmogène,,2,3,PEG-16,PEG/PPG,Très courte (≤15),6,Filmogène
93016,GLYCERYL PPG-16/SMDI HEA/HYDROXYISOPROPYL METHACRYLATE,FILM FORMING,Agent filmogène,143708-48-9,1,3,GLYCERYL PPG-16,PEG/PPG,Très courte (≤15),15,Filmogène
86612,HEXANEDIOL/PEG-2 COCOMONIUM CHLORIDE/TDI COPOLYMER,"ANTIMICROBIAL, ANTISTATIC, DEODORANT, SKIN PROTECTING",Conservateur,,2,3,PEG-2 COCOMONIUM CHLORIDE,PEG/PPG,Courte (16-25),25,Conservateur
85705,"HYDROGENATED DIMER DILINOLEYL PEG-41/POLY(1,2-BUTANEDIOL)-18 DIMETHYL ETHER",SURFACTANT,Tensioactif,,1,2,HYDROGENATED DIMER DILINOLEYL PEG-41,PEG/PPG,Moyenne (26-50),36,Tensioactif
85936,"HYDROGENATED DIMER DILINOLEYL PEG-44/POLY(1,2-BUTANEDIOL)-15 DIMETHYL ETHER",SURFACTANT,Tensioactif,,1,2,HYDROGENATED DIMER DILINOLEYL PEG-44,PEG/PPG,Moyenne (26-50),36,Tensioactif
76639,HYDROGENATED PALM/PALM KERNEL OIL PEG-6 ESTERS,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, STABILISING, SURFACTANT",Tensioactif,,2,2,PALM KERNEL OIL PEG-6 ESTERS,PEG/PPG,Moyenne (26-50),28,Tensioactif
56730,IPDI/PEG-15 COCAMINE/GLYCERETH-7/POLYGLYCERYL-3 COPOLYMER,"HUMECTANT, SKIN CONDITIONING",Humectant,373387-50-9,2,4,PEG-15 COCAMINE,PEG/PPG,Très courte (≤15),15,Humectant
87535,LAURYL ISOPENTYL-PEG/PPG-18/18 METHICONE,EMULSIFYING,Émulsifiant,1112315-26-0,2,3,PPG-18,PEG/PPG,Très courte (≤15),6,Émulsifiant
57048,LAURYL PEG/PPG-18/18 METHICONE,SKIN CONDITIONING,Autre,,2,3,PPG-18,PEG/PPG,Très courte (≤15),6,Autre
91160,METHACRYLIC ACID/PEG-6 METHACRYLATE/PEG-6 DIMETHACRYLATE CROSSPOLYMER.,FILM FORMING,Agent filmogène,,2,3,PEG-6 METHACRYLATE,PEG/PPG,Courte (16-25),18,Filmogène
90137,METHOXY PEG-100/EPSILON CAPROLACTONE/SEBACATE COPOLYMER,HUMECTANT,Humectant,,1,3,METHOXY PEG-100,PEG/PPG,Très courte (≤15),15,Humectant
57951,METHOXY PEG-100/POLYEPSILON CAPROLACTONE,"HUMECTANT, SURFACTANT",Tensioactif,,1,2,METHOXY PEG-100,PEG/PPG,Très courte (≤15),15,Tensioactif
88822,METHOXY PEG-100/POLYEPSILON CAPROLACTONE ETHYLHEXANOATE,"BUFFERING, FILM FORMING, HAIR CONDITIONING, HAIR FIXING",Agent filmogène,,1,2,METHOXY PEG-100,PEG/PPG,Très courte (≤15),15,Filmogène
89425,METHOXY PEG-100/POLYEPSILON CAPROLACTONE PALMITATE,"BUFFERING, FILM FORMING, HAIR CONDITIONING, HAIR FIXING",Agent filmogène,,1,2,METHOXY PEG-100,PEG/PPG,Très courte (≤15),15,Filmogène
57952,METHOXY PEG-114/POLYEPSILON CAPROLACTONE,"BUFFERING, FILM FORMING, HAIR CONDITIONING",Agent filmogène,,1,2,METHOXY PEG-114,PEG/PPG,Très courte (≤15),15,Filmogène
35263,METHOXY PEG-17/DODECYL GLYCOL COPOLYMER,"EMULSIFYING, SKIN CONDITIONING",Émulsifiant,88507-00-0,1,2,METHOXY PEG-17,PEG/PPG,Très courte (≤15),14,Émulsifiant
86158,METHOXY PEG-17/METHOXY PEG-11/HDI CROSSPOLYMER,ANTICAKING,Autre,,1,3,METHOXY PEG-17,PEG/PPG,Très courte (≤15),14,Autre
86158,METHOXY PEG-17/METHOXY PEG-11/HDI CROSSPOLYMER,ANTICAKING,Autre,,2,3,METHOXY PEG-11,PEG/PPG,Très courte (≤15),14,Autre
89910,METHOXY PEG-17/METHOXY PEG-11/HDI ISOCYANURATE TRIMER CROSSPOLYMER,ANTICAKING,Autre,,1,3,METHOXY PEG-17,PEG/PPG,Très courte (≤15),14,Autre
89910,METHOXY PEG-17/METHOXY PEG-11/HDI ISOCYANURATE TRIMER CROSSPOLYMER,ANTICAKING,Autre,,2,3,METHOXY PEG-11,PEG/PPG,Très courte (≤15),14,Autre
35264,METHOXY PEG-22/DODECYL GLYCOL COPOLYMER,"EMULSION STABILISING, VISCOSITY CONTROLLING",Émulsifiant,88507-00-0,1,2,METHOXY PEG-22,PEG/PPG,Très courte (≤15),14,Émulsifiant
93326,METHOXY PEG-23 METHACRYLATE/GLYCERYL DIISOSTEARATE METHACRYLATE COPOLYMER,SKIN PROTECTING,Autre,,1,2,METHOXY PEG-23 METHACRYLATE,PEG/PPG,Moyenne (26-50),27,Autre
