parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
87328,ISOPROPYLIDENEDIPHENYL BISOXYHYDROXYPROPYL METHACRYLATE/TMDI COPOLYMER,FILM FORMING,Agent filmogène,,1,2,ISOPROPYLIDENEDIPHENYL BISOXYHYDROXYPROPYL METHACRYLATE,Molécule chimique,Longue (51-100),55,Filmogène
86534,KLUYVEROMYCES/LACTOBACILLUS/LACTOCOCCUS/LEUCONOSTOC/SACCHAROMYCES/HYDROLYZED HIBISCUS ESCULENTUS SEED EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,6,6,HYDROLYZED HIBISCUS ESCULENTUS SEED EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),60,Autre
90734,KLUYVEROMYCES/SACCHARUM OFFICINARUM STEM JUICE EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,2,2,SACCHARUM OFFICINARUM STEM JUICE EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),57,Autre
86187,LACTOBACILLUS/ANGELICA GIGAS ROOT EXTRACT/PANAX GINSENG ROOT EXTRACT/RUBUS COREANUS FRUIT EXTRACT/SCHIZANDRA CHINENSIS FRUIT EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,5,5,SCHIZANDRA CHINENSIS FRUIT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),51,Autre
86224,LACTOBACILLUS/ARTEMISIA PRINCEPS LEAF EXTRACT/HONEYSUCKLE FLOWER EXTRACT/PAEONIA ALBIFLORA ROOT EXTRACT/PHELLODENDRON AMURENSE BARK EXTRACT FERMENT FILTRATE,SKIN CONDITIONING,Autre,,5,5,PHELLODENDRON AMURENSE BARK EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),52,Autre
86657,LACTOBACILLUS/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING",Antioxydant,,2,2,ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),53,Antioxydant
86658,LACTOBACILLUS/CUDRANIA TRICUSPIDATA BARK EXTRACT FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING",Antioxydant,,2,2,CUDRANIA TRICUSPIDATA BARK EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),51,Antioxydant
90452,LACTOBACILLUS/HYDROLYZED [HONEY/SUGAR CANE/LEAF/GANODERMA LUCIDUM FRUITING BODY/COIX LACRYMA-JOBI MA-YUEN SEED] FERMENT EXTRACT FILTRATE,SKIN CONDITIONING,Autre,,6,6,COIX LACRYMA-JOBI MA-YUEN SEED] FERMENT EXTRACT FILTRATE,Extrait,Longue (51-100),56,Autre
86774,LACTOBACILLUS/SACCHAROMYCES/ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,3,3,ASTRAGALUS MEMBRANACEUS ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),53,Autre
86549,LACTOBACILLUS/SCUTELLARIA BAICALENSIS ROOT EXTRACT FERMENT FILTRATE,"ANTIOXIDANT, SKIN CONDITIONING",Antioxydant,,2,2,SCUTELLARIA BAICALENSIS ROOT EXTRACT FERMENT FILTRATE,Extrait,Longue (51-100),53,Antioxydant
58186,LAURDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN/SILOXYSILICATE,"ANTISTATIC, HAIR CONDITIONING",Soin capillaire,,1,2,LAURDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,Molécule chimique,Longue (51-100),51,Soin capillaire
57948,METHACRYLIC ACID/SODIUM ACRYLAMIDOMETHYL PROPANE SULFONATE COPOLYMER,"FILM FORMING, HAIR FIXING",Agent filmogène,,2,2,SODIUM ACRYLAMIDOMETHYL PROPANE SULFONATE COPOLYMER,Polymère,Longue (51-100),51,Filmogène
