parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,1,4,ACACIA DECURRENS,Molécule chimique,Courte (16-25),16,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,2,4,JOJOBA,Molécule chimique,Très courte (≤15),6,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,3,4,SUNFLOWER SEED CERA,Botanique,Courte (16-25),19,Émollient
86886,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED CERA/POLYGLYCERYL-3 ESTERS,EMOLLIENT,Émollient / Conditioning,,4,4,POLYGLYCERYL-3 ESTERS,Molécule chimique,Courte (16-25),21,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,3,ACACIA DECURRENS,Molécule chimique,Courte (16-25),16,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,3,JOJOBA,Molécule chimique,Très courte (≤15),6,Émollient
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,3,SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,Cire,Moyenne (26-50),40,Émollient
54242,ACACIA FARNESIANA FLOWER/STEM EXTRACT,"ASTRINGENT, VISCOSITY CONTROLLING",Agent de viscosité,89958-31-6,1,2,ACACIA FARNESIANA FLOWER,Botanique,Courte (16-25),24,Agent de viscosité
54242,ACACIA FARNESIANA FLOWER/STEM EXTRACT,"ASTRINGENT, VISCOSITY CONTROLLING",Agent de viscosité,89958-31-6,2,2,STEM EXTRACT,Extrait,Très courte (≤15),12,Agent de viscosité
54243,ACACIA SENEGAL FLOWER/STEM EXTRACT,VISCOSITY CONTROLLING,Agent de viscosité,97659-43-3,1,2,ACACIA SENEGAL FLOWER,Botanique,Courte (16-25),21,Agent de viscosité
54243,ACACIA SENEGAL FLOWER/STEM EXTRACT,VISCOSITY CONTROLLING,Agent de viscosité,97659-43-3,2,2,STEM EXTRACT,Extrait,Très courte (≤15),12,Agent de viscosité
84906,ACANTHOPANAX SESSILIFLORA BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,95370-68-6,1,3,ACANTHOPANAX SESSILIFLORA BARK,Botanique,Moyenne (26-50),30,Autre
84906,ACANTHOPANAX SESSILIFLORA BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,95370-68-6,2,3,ROOT,Botanique,Très courte (≤15),4,Autre
84906,ACANTHOPANAX SESSILIFLORA BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,95370-68-6,3,3,STEM EXTRACT,Extrait,Très courte (≤15),12,Autre
92892,ACANTHOPANAX SESSILIFLORUS BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,,1,3,ACANTHOPANAX SESSILIFLORUS BARK,Botanique,Moyenne (26-50),31,Autre
92892,ACANTHOPANAX SESSILIFLORUS BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,,2,3,ROOT,Botanique,Très courte (≤15),4,Autre
92892,ACANTHOPANAX SESSILIFLORUS BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,,3,3,STEM EXTRACT,Extrait,Très courte (≤15),12,Autre
88874,ACER NIKOENSE BRANCH/STEM EXTRACT,SKIN CONDITIONING,Autre,,1,2,ACER NIKOENSE BRANCH,Molécule chimique,Courte (16-25),20,Autre
88874,ACER NIKOENSE BRANCH/STEM EXTRACT,SKIN CONDITIONING,Autre,,2,2,STEM EXTRACT,Extrait,Très courte (≤15),12,Autre
91602,ACETIC/LINOLEIC/PALMITIC TRIGLYCERIDE,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING",Humectant,221139-79-3,1,3,ACETIC,Molécule chimique,Très courte (≤15),6,Humectant
91602,ACETIC/LINOLEIC/PALMITIC TRIGLYCERIDE,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING",Humectant,221139-79-3,2,3,LINOLEIC,Molécule chimique,Très courte (≤15),8,Humectant
91602,ACETIC/LINOLEIC/PALMITIC TRIGLYCERIDE,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING",Humectant,221139-79-3,3,3,PALMITIC TRIGLYCERIDE,Molécule chimique,Courte (16-25),21,Humectant
